"DataMessageGUID","SensorID","Sensor Name","Date","Formatted Value"
"94591668-b894-4b04-9cca-cfd1cf62b0b7","465974","Humidity - 465974","19-11-24 22:07","32.37% @ 28.2° C"
"451f1bee-0c27-445a-9191-0719ae033edb","465974","Humidity - 465974","19-11-24 21:57","32.35% @ 28.3° C"
"b156f9c8-c4ff-463b-868a-fb45a1a63136","465974","Humidity - 465974","19-11-24 21:47","32.36% @ 28.3° C"
"13d45b70-5ad0-427f-b2ad-e3a66238ea9d","465974","Humidity - 465974","19-11-24 21:37","32.25% @ 28.3° C"
"6c3132f5-09e7-431b-8e0a-10805fd667b7","465974","Humidity - 465974","19-11-24 21:27","32.25% @ 28.3° C"
"5b1605a1-6896-4e6d-858e-3f50f9f07a50","465974","Humidity - 465974","19-11-24 21:17","32.22% @ 28.3° C"
"bc60ea95-eef9-4dad-b564-e9d18061b81b","465974","Humidity - 465974","19-11-24 21:07","32.27% @ 28.3° C"
"08b57873-b0ec-4033-92e1-a0d90a23b549","465974","Humidity - 465974","19-11-24 20:57","32.24% @ 28.3° C"
"49e5e468-3431-455d-b617-a5f28c8ad929","465974","Humidity - 465974","19-11-24 20:47","32.24% @ 28.3° C"
"9f6a6715-8e04-43fc-9bd4-5e26966ed159","465974","Humidity - 465974","19-11-24 20:37","32.27% @ 28.4° C"
"6f5f8d96-a3e6-48d7-9582-1cf988dcb5b7","465974","Humidity - 465974","19-11-24 20:27","32.34% @ 28.4° C"
"22ed9bab-c496-4d88-9691-e81e638755bc","465974","Humidity - 465974","19-11-24 20:17","32.32% @ 28.4° C"
"836a193d-f71f-4aab-be79-94b499fe28f4","465974","Humidity - 465974","19-11-24 20:07","32.34% @ 28.4° C"
"6ea5f8e7-ae70-4fae-8f36-e10e8bbc7386","465974","Humidity - 465974","19-11-24 19:57","32.35% @ 28.4° C"
"6dec45a1-800c-45bd-aade-15486c03d279","465974","Humidity - 465974","19-11-24 19:47","32.39% @ 28.4° C"
"33d4420b-381e-42b4-a9c6-7426971c7745","465974","Humidity - 465974","19-11-24 19:37","32.35% @ 28.4° C"
"5c8ff756-bf4c-47fe-8ab3-70e950b8273b","465974","Humidity - 465974","19-11-24 19:27","32.37% @ 28.4° C"
"dc4cc0cc-2f32-425b-9bee-78dcb4f18809","465974","Humidity - 465974","19-11-24 19:17","32.34% @ 28.4° C"
"9e8bc032-da86-49aa-86e2-29ead2450d8c","465974","Humidity - 465974","19-11-24 19:07","32.34% @ 28.4° C"
"f443668f-642f-40f4-be18-468c6c595c16","465974","Humidity - 465974","19-11-24 18:57","32.29% @ 28.4° C"
"d497ccdc-9da9-4faa-8089-d6c48de8b3ce","465974","Humidity - 465974","19-11-24 18:47","32.27% @ 28.4° C"
"1099f665-7ae1-44fe-a01f-7f71c282b6e6","465974","Humidity - 465974","19-11-24 18:37","32.19% @ 28.4° C"
"0fc520e1-8d06-4e65-aacd-bdbf6096c37d","465974","Humidity - 465974","19-11-24 18:27","32.19% @ 28.4° C"
"e9db8382-09dd-44e4-82a5-64ae81ee2f34","465974","Humidity - 465974","19-11-24 18:17","32.16% @ 28.4° C"
"05d90181-6496-4209-9895-c48f839767e0","465974","Humidity - 465974","19-11-24 18:07","32.31% @ 28.4° C"
"ed9608d5-1a42-44f3-bf94-258025b395d2","465974","Humidity - 465974","19-11-24 17:57","32.29% @ 28.4° C"
"9fce5478-3b24-4de4-bced-f1a4b780d923","465974","Humidity - 465974","19-11-24 17:47","32.3% @ 28.4° C"
"5ab8a0f4-e537-4e30-9926-8647984c3657","465974","Humidity - 465974","19-11-24 17:37","32.34% @ 28.4° C"
"67deda74-b17d-44f8-8724-98981e596ff2","465974","Humidity - 465974","19-11-24 17:27","32.37% @ 28.4° C"
"c06e3524-e8e2-4281-9c23-96a48a82be87","465974","Humidity - 465974","19-11-24 17:17","32.37% @ 28.3° C"
"f1874420-ee5c-4523-9112-5551c85b2940","465974","Humidity - 465974","19-11-24 17:07","32.46% @ 28.4° C"
"e1292364-62b5-48a4-bd32-5d1bcea5294d","465974","Humidity - 465974","19-11-24 16:57","32.53% @ 28.4° C"
"45009a20-1a90-4650-8a91-eeaa9586272b","465974","Humidity - 465974","19-11-24 16:47","32.56% @ 28.4° C"
"45c90fd2-e2c1-4959-81f4-c353a187a2e7","465974","Humidity - 465974","19-11-24 16:37","32.54% @ 28.3° C"
"0a1aa362-3e4c-41d7-aa5c-55e77f31ad4d","465974","Humidity - 465974","19-11-24 16:27","32.59% @ 28.3° C"
"be00aa5a-0de9-4993-b7fd-f7e95b65f7f1","465974","Humidity - 465974","19-11-24 16:17","32.57% @ 28.3° C"
"f775b996-166f-4c85-9d4b-77caf8912c8f","465974","Humidity - 465974","19-11-24 16:07","32.68% @ 28.3° C"
